order,pollutant,station,timing,type,value
22.0,NO2,all,years,air,22.356138541666642
23.0,NO2,all,years,air,18.459646874999965
24.0,NO2,all,years,air,6.555402156334215
25.0,NO2,all,years,air,12.75386455026455
26.0,NO2,all,years,air,17.536849648711897
27.0,NO2,all,years,air,15.721388333333314
28.0,NO2,all,years,air,19.61757166666664
29.0,NO2,all,years,air,18.4722657505285
30.0,NO2,all,years,air,21.51366099071204
31.0,NO2,all,years,air,14.882167291666653
32.0,NO2,all,years,air,18.716571458333352
33.0,NO2,all,years,air,21.031634166666656
34.0,NO2,all,years,air,24.772668541666643
35.0,NO2,all,years,air,20.16988187500001
36.0,NO2,all,years,air,17.494588541666655
37.0,NO2,all,years,air,16.625571874999984
38.0,NO2,all,years,air,19.755986041666638
39.0,NO2,all,years,air,20.473339374999977
40.0,NO2,all,years,air,21.131748333333302
41.0,NO2,all,years,air,24.01021270833328
42.0,NO2,all,years,air,18.752348333333334
43.0,NO2,all,years,air,18.846410833333326
44.0,NO2,all,years,air,18.919825208333332
45.0,NO2,all,years,air,15.418541249999985
46.0,NO2,all,years,air,21.45602708333332
47.0,NO2,all,years,air,17.78814062499999
48.0,NO2,all,years,air,21.212697291666657
49.0,NO2,all,years,air,24.18233312500002
50.0,NO2,all,years,air,18.898044375
51.0,NO2,all,years,air,20.21620041666666
52.0,NO2,all,years,air,21.65386124999996
53.0,NO2,all,years,air,22.739260416666657
54.0,NO2,all,years,air,17.706485625000006
55.0,NO2,all,years,air,18.371559791666662
56.0,NO2,all,years,air,22.644630624999994
57.0,NO2,all,years,air,17.067652291666665
58.0,NO2,all,years,air,21.53655749999996
59.0,NO2,all,years,air,18.765362499999974
60.0,NO2,all,years,air,22.969992916666605
61.0,NO2,all,years,air,0.0
62.0,NO2,all,years,air,18.92723604166667
63.0,NO2,all,years,air,18.720854166666683
64.0,NO2,all,years,air,20.703283541666657
65.0,NO2,all,years,air,17.803318124999983
66.0,NO2,all,years,air,18.599275000000002
67.0,NO2,all,years,air,22.229725208333306
68.0,NO2,all,years,air,20.92112916666664
69.0,NO2,all,years,air,19.05772
70.0,NO2,all,years,air,16.68980229166666
71.0,NO2,all,years,air,19.661344791666643
72.0,NO2,all,years,air,17.63816166666664
73.0,NO2,all,years,air,16.80967416666666
74.0,NO2,all,years,air,19.700223541666656
75.0,NO2,all,years,air,22.239979374999955
76.0,NO2,all,years,air,22.018767708333332
77.0,NO2,all,years,air,15.8312383033419
78.0,NO2,all,years,air,20.49689754098358
79.0,NO2,all,years,air,16.605974166666652
80.0,NO2,all,years,air,21.60732374999999
81.0,NO2,all,years,air,20.593898328690784
82.0,NO2,all,years,air,22.888023333333297
83.0,NO2,all,years,air,17.931207083333298
84.0,NO2,all,years,air,10.719389999999986
85.0,NO2,all,years,air,20.864007219251302
86.0,NO2,all,years,air,17.2307089583333
87.0,NO2,all,years,air,21.077606041666662
88.0,NO2,all,years,air,20.584073958333356
89.0,NO2,all,years,air,22.749334375
90.0,NO2,all,years,air,21.204198124999987
